Tweets,Category
b'@Mumbai03295215 We have informed traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@GayathriBalraj We have informed traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
"b'@MoooKoool Thank you for writing to us, Please share the details of your complaint here :- https://t.co/n2zrA0EiOe'",Governmental
b'@raikaushik We have forwarded your query to the @Thane_R_Police (Rural) as they shall be able to help you better. Y... https://t.co/ziFR3RzgMn',Governmental
b'@vivnatekar Grateful for bringing it to our notice. We have informed traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@TheRanjitShinde Thank you for sharing this with us. We have shared this with traffic branch. (Traffic helpline whatsapp no. 8454999999).',Governmental
b'@aaniket_rawat We are forwarding it to traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@11Poetic We are forwarding it to traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@ParinMajithia We regret your inconvenience. we are sharing your concern with traffic division. You can call them for update on 8454999999.',Governmental
b'@ddvirendra @8 The traffic division has been informed for further action. You can also WhatsApp your concern direct... https://t.co/WkTQv7VlVY',Governmental
"b'@anuj_sena Thank you for writing to us, Please share the details of your complaint here: https://t.co/nxnDQTo4fQ  or call them on 1916.'",Governmental
b'@AbhisTwitHandle We regret your inconvenience. We are again forwarding it to traffic branch. (traffic helpline whatsapp no.8454999999).',Governmental
b'@narrybhatia We are forwarding it to traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@amitozaraj Please visit the nearest police station for further support.',Governmental
b'@AmruthaSNair3 We have followed you. Please share your contact details. Talking to you at length may help us unders... https://t.co/lXSgVqTGaQ',Governmental
b'@twtsitcom Please share the details of your complaint here: https://t.co/nxnDQTo4fQ  or call them on 1916.',Governmental
b'@Rahult23 we are sharing your concern with traffic division. You can call them for update on 8454999999.',Governmental
b'@hungryoungman Thank you for sharing this with us. We have shared this with traffic branch. (Traffic helpline whatsapp no. 8454999999).',Governmental
b'@hungryoungman Please share exact location for necessary action.',Governmental
b'@LuqmanA94129806 As per our discussion on phone. We have informed Colaba Police station for further support.',Governmental
b'@Hussainmakrani1 Thank you for sharing this with us. We have informed the main control room.',Governmental
b'@lbhamidi We have followed you. Request you to inbox your number. We will call you shortly to get details.',Governmental
b'@YogitaSalvi2 We regret your inconvenience .We have informed the main control room.',Governmental
b'@Dkdoshi1 We have informed BMC. You can share the details of your complaint here : https://t.co/nxnDQTo4fQ  or call them on 1916.',Governmental
b'@GauravZeeshan Please visit the nearest police station for further support.',Governmental
b'@Namrata1610 Thank you for sharing this with us. We have shared this with traffic branch. (Traffic helpline whatsapp no. 8454999999).',Governmental
b'@gautamjain1198 We have shared this with traffic branch.(Traffic helpline whatsapp no. 8454999999).',Governmental
b'@DeepenSenghani We are forwarding it to traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@Rudy_721994 We have informed traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@Numb2705 We have shared this with traffic branch. (Traffic helpline whatsapp no. 8454999999).',Governmental
b'@faisalking_king We are forwarding it to traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@RishiMonisha Thank you for sharing this with us. We have shared this with traffic branch. (Traffic helpline whatsapp no. 8454999999).',Governmental
b'@Wassup_Mumbai We have informed the traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@d_kunal96 Please visit the nearest police station for further support.',Governmental
b'@RishiMonisha The address mentioned is not sufficient. Please share the exact location for necessary action more promptly.',Governmental
b'@sanjaypp23    .       .    ... https://t.co/DvyaS4CKW4',Governmental
b'@__rapscallion Please visit the nearest police station for further support.',Governmental
b'@dreambigmovemen We have shared this with traffic branch. (Traffic helpline whatsapp no. 8454999999).',Governmental
b'@shantanu_89 We have followed you. Please DM us your contact details.',Governmental
b'@gurav_vishwas Request you to visit at the nearest police station for further support.',Governmental
b'@Atif1175khan Please share the details of your complaint here: https://t.co/nxnDQTo4fQ or call them on 1916.',Governmental
b'@pradeepsaini90 The traffic division has been informed for further action. You can also WhatsApp your concern direc... https://t.co/NQGUOg7V84',Governmental
b'@sandeepdhruva We are forwarding it to traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
"b""@harshashar Don't entertain such SMS. They may be fraudsters. Official complaints need to be lodged at your nearest Police Station.""",Governmental
b'@rutvikpawgi We have shared this with traffic branch.(Traffic helpline whatsapp no. 8454999999 )',Governmental
"b""@vishwajeetmish9 Don't entertain such SMS. They may be fraudsters. Official complaints need to be lodged at your nearest Police Station.""",Governmental
"b'@itsme_nitesh The number of the car is not clear, you can share the full number of the car and exact location with... https://t.co/Ht0xhkbL8G'",Governmental
b'@deependhulla Request you to visit at the nearest police station for further support.',Governmental
b'@marutikg We are forwarding it to traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@pranayvira We have informed traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@jainrajatr Please share exact location for necessary action.',Governmental
b'@MumbaiFedUp Traffic division has taken action against the vehicle. (E-Challan No: MTPCHC1800842805 &amp; MTPCHC1800842855).',Governmental
b'@shanpati The Signal opposite to the Dindoshi Bus Depot is working smoothly. https://t.co/lhoK5GHcoP',Governmental
b'@majidshaikhm Traffic division has taken action against the vehicle. (E-Challan No: MTPCHC1800841897).',Governmental
b'@Khurshedlawyer Traffic division has taken action against the vehicle. (E-Challan No: MTPCHC1800842831).',Governmental
b'@Alifaiz2708 Sorry to hear about your inconvenience. We will try and get this resolved at the earliest by the Traff... https://t.co/J1pboXPSil',Governmental
b'@hardikshah143 Please share the details of your complaint here: https://t.co/nxnDQTo4fQ  or call them on 1916.',Governmental
b'@vinayakbhave Request you to contact G-Branch of Mumbai Police on 022-22620831 for your query.',Governmental
b'@Sukesh41179974 We are sharing your concern with traffic branch. You can call them for update on 8454999999.',Governmental
b'@HiteshKukreja Traffic division has taken action against the vehicle. (E-Challan No: MTPCHC1800841936).',Governmental
b'@TheNeorotic Traffic division has taken action against the vehicle. (E-Challan No: MTPCHC1800842785).',Governmental
b'@Khurshedlawyer We are forwarding this to the Traffic Branch for necessary action.',Governmental
b'@RoGaCiAnO_VII Thank you for writing to us. Please be sure to convey your transport complaint here-... https://t.co/xmOJbJFT2e',Governmental
b'@sagar22lalla Request you to visit at the nearest police station for further support.',Governmental
b'@LakshmiRangana9 We regret your inconvenience. We have informed traffic branch for legal action. You can contact th... https://t.co/lWylPZlE9V',Governmental
b'@MumbaiFedUp Traffic division has been informed for further action. You can also WhatsApp your concern directly to... https://t.co/YEVuFqULAv',Governmental
b'@TheNeorotic We are forwarding it to traffic branch. In case you wish to send your concern directly to the Traffic... https://t.co/AMrfdNhwuy',Governmental
b'@BangeraMonica Kindly visit police station on Saturday between 9:00 am to 11:00 am to get the status of your FIR https://t.co/kswSJuOtbU',Governmental
b'@rohitberia1 We regret your inconvenience. We have informed traffic branch for legal action. You can contact them a... https://t.co/Iasi4Syscd',Governmental
b'@darsh399 Traffic division has taken action against the vehicle. (E-Challan No: MTPCHC1800842503).',Governmental
b'@MelvinChourappa We have informed the main control room for further action.',Governmental
b'@SureshG44747219 We are forwarding it to traffic branch. In case you wish to send your concern directly to the Traf... https://t.co/KVUPtjcu75',Governmental
b'@darsh399 We have informed traffic branch for legal action. You can contact them at helpline no. 8454999999.',Governmental
b'@sftmumbai Traffic division has taken action against the vehicle. (E-Challan No: MTPCHM1800578702).',Governmental
b'@Him64Nayak We are forwarding it to traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
b'@roninbom We have informed traffic branch.(traffic helpline whatsapp no.8454999999).',Governmental
"b'Thanks to dynamic reforms and new incentives, the textiles industry has seen FDI increase by 150% in just 3 years.... https://t.co/ezftSjo5O3'",Governmental
"b""As the world's fastest growing economy, #NewIndia is setting the pace for a\nnew era of collaboration and developmen... https://t.co/dE917Gy16Q""",Governmental
b'RT @CIPAM_India: India jumps 24 places in Global Innovation Index (GII) in last 3 years from 81st in 2015 to 57th in 2018. \n\nAs per the rep...',Governmental
b'RT @CIPAM_India: Indicators in which India is in top 20 in Global Innovation Index (GII) 2018. India retains its top position in ICT servic...',Governmental
b'The Government of Jharkhand offers financial assistance of 50% for fixed capital investments in building and common... https://t.co/6NpaK2Qk4Y',Governmental
b'RT @EODB_India: MCA has merged 5 processes into a simple application - Simplified Proforma for Incorporating Company electronically (SPICe)...',Governmental
"b'RT @EODB_India: As an initiative towards simplifying #constructionpermits in Delhi and Mumbai, all construction approvals are granted onlin...'",Governmental
b'RT @EODB_India: Service line cum Development charges for taking a new electricity connection on LT supply for connection up to 200 kW/215 k...',Governmental
b'RT @EODB_India: #DidYouKnow: Grievances regarding  property registration at SROs in Delhi can be filed via Registration Related Grievance M...',Governmental
"b'RT @EODB_India: A reduction in administrative charges for Provident Fund from 0.65% to 0.5% has reduced the #cost burden for #employers, ma...'",Governmental
b'RT @EODB_India: #GST One Authority  One Administration - All taxpayers to have a single window tax authority for all compliance purposes....',Governmental
b'RT @EODB_India: #DidYouKnow: The release time for imports at @JNPort improved from 181.34 hours in 2017 to 144.18 hours in 2018 #IndiaMeans...',Governmental
"b'RT @EODB_India: Application for PAN and TAN can now be done via SPICe form, making the process of starting a business more efficient.  #Eas...'",Governmental
"b'RT @EODB_India: Corporate tax rate has been reduced for companies with turnover less than Rs. 250 crores to 25% from 30%, thereby reducing...'",Governmental
b'Auto component manufacturer can avail of this policy or choose to opt for the incentives found under the scheme for... https://t.co/PARi8V5Wb8',Governmental
b'#NewIndia is home to a new spirit of innovation. Four years of dynamic reforms and a shift from red tape to red car... https://t.co/6aclsOQ1sI',Governmental
"b'RT @EODB_India: Stage is set. With systems in place, next round of State Business Reforms Assessment will be completely based on feedback f...'",Governmental
b'RT @EODB_India: BRAP 2017 reforms exercise reflects the commitment of the State Govts towards easing regulations and compliances involved i...',Governmental
b'RT @EODB_India: States have supported the feedback exercise with tremendous enthusiasm. More than 5000 private sector users from 23 States/...',Governmental
b'RT @EODB_India: BRAP 2017 reform exercise exemplifies cooperative and competitive federalism whereby States compete with and assist each ot...',Governmental
b'RT @EODB_India: State Level Business Reforms to be extended to districts next year to ensure grass root penetration of #EaseOfDoingBusines...',Governmental
b'In just three years #NewIndia has climbed more than 20 places to rank 40 on the Global Competitiveness Index in 201... https://t.co/YUoYIjZsT2',Governmental
"b'To promote low carbon sustainable public transport system in urban areas, the scheme will be executed with the help... https://t.co/V1a4IaNoqY'",Governmental
"b'RT @EODB_India: Bringing the vision for New India with simpler, faster and efficient processes into reality, BRAP 2017 witnessed an incre...'",Governmental
b'RT @EODB_India: Property registration reforms implemented by States under BRAP 2017 #easeofdoingbusiness #stateranking https://t.co/hPRIqL1...',Governmental
b'RT @EODB_India: Reform implementation represented across the country under BRAP 2017 #easeofdoingbusiness #stateranking https://t.co/vZKvdi...',Governmental
b'RT @EODB_India: States have constantly progressed on implementation of reforms in the last three years since 2014 #easeofdoingbusiness #sta...',Governmental
b'RT @EODB_India: States continue to improve despite reform plan expansion over the last three years #easeofdoingbusiness #stateranking https...',Governmental
"b'RT @EODB_India: We have seen success in difficult areas like inspection reforms to enable transparency, says Shailendra Singh, Additional S...'",Governmental
b'RT @EODB_India: A walkthrough of the BRAP 2017 reform exercise @rabhishek1982 @CimGOI #easeofdoingbusiness https://t.co/WnEXSlfz32',Governmental
b'RT @EODB_India: National average implementation rate has almost doubled compared to 2015 @rabhishek1982 @sureshpprabhu #easeofdoingbusiness...',Governmental
b'RT @EODB_India: BRAP 2017 has encouraged States to harness the use of information technology to make processes faster and simpler @rabhishe...',Governmental
"b'NEMMP has been taken up to encourage reliable, affordable and efficient xEVs (hybrid and electric vehicles) that me... https://t.co/yM0oCnD68M'",Governmental
b'#NewIndia is fast becoming a world-leading investment destination. The nations high rank on the FDI confidence ind... https://t.co/Q73hCje6cW',Governmental
b'RT @EODB_India: Unique handholding introduced in BRAP 2017 to propel higher reform implementation #easeofdoingbusiness #staterankings @rabh...',Governmental
b'RT @EODB_India: Unique handholding introduced in BRAP 2017 to propel higher reform implementation #easeofdoingbusiness #staterankings @rabh...',Governmental
b'RT @EODB_India: Unique handholding introduced in BRAP 2017 to propel higher reform implementation #easeofdoingbusiness #staterankings @rabh...',Governmental
b'RT @EODB_India: BRAP 2017 aims to strengthen States firm resolve to further intensify efforts to make India one of the best investment des...',Governmental
b'RT @EODB_India: States have shown tremendous improvement in key reform areas #easeofdoingbusiness #staterankings @rabhishek1982 @CimGOI htt...',Governmental
b'RT @EODB_India: States have shown tremendous improvement in key reform areas #easeofdoingbusiness #staterankings @rabhishek1982 @CimGOI htt...',Governmental
b'RT @EODB_India: A look at the key reform areas @rabhishek1982 @CimGOI #businessreformactionplan17 https://t.co/dbffqlzoQI',Governmental
b'RT @EODB_India: States have shown tremendous improvement in key reform areas #easeofdoingbusiness #staterankings @rabhishek1982 @CimGOI htt...',Governmental
b'RT @EODB_India: States have shown tremendous improvement in key reform areas #easeofdoingbusiness #staterankings @rabhishek1982 @CimGOI htt...',Governmental
b'RT @EODB_India: States have shown tremendous improvement in key reform areas #easeofdoingbusiness #staterankings @rabhishek1982 @CimGOI htt...',Governmental
b'RT @EODB_India: States have shown tremendous improvement in key reform areas #easeofdoingbusiness #staterankings @rabhishek1982 @CimGOI htt...',Governmental
b'RT @EODB_India: States have shown tremendous improvement in key reform areas #easeofdoingbusiness #staterankings @rabhishek1982 @CimGOI htt...',Governmental
b'RT @EODB_India: States have shown tremendous improvement in key reform areas #easeofdoingbusiness #staterankings @rabhishek1982 @CimGOI htt...',Governmental
b'RT @EODB_India: States have shown tremendous improvement in key reform areas #easeofdoingbusiness #staterankings @rabhishek1982 @CimGOI htt...',Governmental
b'RT @EODB_India: Unique handholding introduced in BRAP 2017 to propel higher reform implementation #easeofdoingbusiness #staterankings @rabh...',Governmental
b'RT @EODB_India: Unique handholding introduced in BRAP 2017 to propel higher reform implementation #easeofdoingbusiness #staterankings @rabh...',Governmental
"b'RT @EODB_India: Feedback taken from more than 5,000 private sector users in 23 States/UTs from five categories of users @rabhishek1982 @Cim...'",Governmental
b'RT @EODB_India: Unique handholding introduced in BRAP 2017 to propel higher reform implementation #easeofdoingbusiness #staterankings @rabh...',Governmental
b'RT @EODB_India: Unique handholding introduced in BRAP 2017 to propel higher reform implementation #easeofdoingbusiness #staterankings @rabh...',Governmental
"b""RT @EODB_India: With the right vision and focus on 'Reform Perform and Transform' the National average implementation percentage has jumped...""",Governmental
b'RT @EODB_India: DIPP today released #StateRankings on #EaseOfDoingBusiness. 6 States gave very good performance with more than 90 per cent...',Governmental
"b""RT @EODB_India: States give wings to India's progress. Results declared under Business Reform Action Plan 2017 today indicate that States a...""",Governmental
b'RT @EODB_India: Feedback for the first time collected from more than 5000 private users in 23 States/UTs #easeofdoingbusiness #stateranking...',Governmental
"b""RT @EODB_India: India's subnational reform exercise under Business Reform Action Plan draws interest globally from countries like Brazil an...""",Governmental
b'RT @EODB_India: Capacity building exemplified through State partnerships show great federalism. Telangana mentoring Tripura and West Bengal...',Governmental
b'RT @EODB_India: Top States in the assessment under Business Reform Action Plan 2017 appreciated for efforts under various areas. Uttar Prad...',Governmental
b'RT @EODB_India: Top States in the assessment under Business Reform Action Plan 2017 appreciated for efforts under various areas. Maharashtr...',Governmental
b'RT @EODB_India: Top States in the assessment under Business Reform Action Plan 2017 appreciated for efforts under various areas. Odisha rec...',Governmental
b'RT @EODB_India: Top States in the assessment under Business Reform Action Plan 2017 appreciated for efforts under various areas. Uttarakhan...',Governmental
b'RT @EODB_India: Top States in the assessment under Business Reform Action Plan 2017 appreciated for efforts under various areas. Karnataka...',Governmental
b'RT @EODB_India: Top States in the assessment under Business Reform Action Plan 2017 appreciated for efforts under various areas.  West Beng...',Governmental
b'RT @EODB_India: Top States in the assessment under Business Reform Action Plan 2017 appreciated for efforts under various areas. Rajasthan...',Governmental
b'RT @EODB_India: Top States in the assessment under Business Reform Action Plan 2017 appreciated for efforts under various areas. Madhya Pra...',Governmental
b'RT @EODB_India: Top States in the assessment under Business Reform Action Plan 2017 appreciated for efforts under various areas. Chattisgar...',Governmental
b'RT @sureshpprabhu: My congratulations also to the people of Telangana and Haryana on finishing closely at 2nd and 3rd place respectively in...',Governmental
"b'RT @EODB_India: Shri Shailendra Singh, AS, DIPP, delivering the Vote of Thanks for the event. #EaseOfDoingBusiness https://t.co/PsJhqNelNx'",Governmental
"b'RT @EODB_India: Mr. Junaid Kamal Ahmad, Country Director, World Bank Group, feels that the subnational reform exercise rankings are as impo...'",Governmental
"b'RT @EODB_India: Mr. Ravi Kumar, Director Industries, Jharkhand, presenting on feedback and reform communication in the State. #EaseOfDoingB...'",Governmental
"b'RT @EODB_India: Mr. Chandrajit Banerjee, DG, CII, acknowledging effective working of Single Window System in some of the States. #EaseOfDoi...'",Governmental
b'RT @EODB_India: State Business Reform Assessment 2018 #EaseOfDoingBusiness @DIPPGOI https://t.co/mW3tb4Kk7Y',Governmental
"b'RT @EODB_India: Shri Ramesh Abhishek, Secretary, DIPP, releases the State Business Reform Assessment results! #EaseOfDoingBusiness https://...'",Governmental
"b'RT @EODB_India: DIPP in collaboration with World Bank, today released rankings under State Business Reform Assessment 2018. #EaseofDoingBus...'",Governmental
"b'With increasingly dynamic policy reforms and a steady increase in FDI inflow, #NewIndia has found its place among t... https://t.co/oO89PYY0ID'",Governmental
"b'The Automotive Mission Plan (2016-2026), aims to increase the export of vehicles by 5 times. With 3.47 million vehi... https://t.co/4if7Z8i3f4'",Governmental
"b'Both an investment and a tourist destination, #NewIndia is cementing its place as a world-leader in both spheres. A... https://t.co/xcPjcGigeq'",Governmental
b'Indias auto sector is geared for significant growth over the next 10 years. According the Automotive Mission Plan... https://t.co/E2o1IupoFY',Governmental
"b'Currently, Indias auto industry accounts for 7.1% of the countrys GDP. Within the next 10 years, this number is p... https://t.co/eojwriq8R2'",Governmental
b'Indias automotive sector has been on the up for a long period. With an aim to become a world-leading manufacturing... https://t.co/PkOxKeGaej',Governmental
"b'In 2016-17, Indias automobile market recorded an average annual production of 25 million vehicles. From this, 3.47... https://t.co/9DzAvJ9Ioo'",Governmental
"b'Over the past four years, India has staked its claim to being a world-leading manufacturing hub and is currently th... https://t.co/VZmI0fIwRU'",Governmental
"b'The auto sector in #NewIndia is one that continues to contribute more and more to the total GDP. Currently, the sec... https://t.co/qMBhTlDwr5'",Governmental
b'RT @EODB_India: Customs Clearance Facilitation Committee (CCFC) established to expedite clearance of imported/exported goods and to help in...',Governmental
"b'In the last four years, #NewIndia has improved its telecom sector by leaps and bounds. An example of this success i... https://t.co/QXGwQujqQT'",Governmental
"b'Since 2014, #NewIndia has grown leaps and bounds in almost every sector. One such sector that has shown tremendous... https://t.co/N0vaUbC0DD'",Governmental
"b'#NewIndia is getting connected. With over a billion telecom subscriptions , the nation is making rapid progress tow... https://t.co/n2Krv5XnHZ'",Governmental
"b'RT @EODB_India: Getting Electricity made faster. In #Mumbai, get new commercial electricity connection in just 15 days. #easeofdoingbusiness'",Governmental
"b'RT @EODB_India: e-SANCHIT system of Indian customs facilitates online submission of trade related documents, easing Trading across Borders....'",Governmental
b'RT @EODB_India: #GST enables free flow of goods  No Check posts -  No physical barriers - Moving from  different fractured markets to esta...',Governmental
"b'RT @FinMinIndia: Govt of India celebrated the 1st year of implementation of the unprecedented reform of Indian taxation, GST on 1st July, 2...'",Governmental
b'RT @sureshpprabhu: 88 startups have benefitted from income tax exemption available to recognised startups under the #StartupIndia initiativ...',Governmental
b'RT @sureshpprabhu: 128 startups across the country have received total funding of Rs. 600.75 crore till date under Fund of Funds managed by...',Governmental
"b'RT @sureshpprabhu: Govt. initiatives like Startup recognition by @DIPPGOI &amp; associated benefits, e-Learning courses for entrepreneurs, onli...'",Governmental
"b'RT @sureshpprabhu: .@startupindia is empowering #startups to safeguard their innovation against misuse, through patent and trademark facili...'",Governmental
"b'#NewIndia has made improving the infrastructure a high priority. Under PM Gram Sadak Yojana, roads are being built... https://t.co/zF9Looz57a'",Governmental
b'Schemes like Mudra Yojana have allowed micro enterprise in #NewIndia to flourish and provide employment to many. Un... https://t.co/piXXIBCkJL',Governmental
b'Ports in #NewIndia are witnessing rapid modernisation and development. An additional capacity of more than 100 Mn t... https://t.co/CtKYdEgxDn',Governmental
b'https://t.co/Ey2HaxMjU1',Governmental
"b'RT @PiyushGoyal: Delivering on our commitment of better service to passengers, railways has improved punctuality of its trains from 60% in...'",Governmental
b'RT @drmlko25: #Joining the battle against plastic waste.\nWith a view to encourage passengers to dispose off plastic bottles in an environme...',Governmental
"b'Now, ticket booking for suburban trains gets easier! \nhttps://t.co/1qqAfL5uSc'",Governmental
"b'RT @PiyushGoyalOffc:      ---  ,  60  65%  ,    ...'",Governmental
"b'RT @RailwayNorthern:   -   ,        ...\n\n@PiyushGoyal @PiyushGoyalOffc @manojsi...'",Governmental
b'                     182 ... https://t.co/nv3XyLScDV',Governmental
b'https://t.co/Mrm5hZzPpm',Governmental
b'RT @ANI: A woman travelling in LTT-Visakhapatnam Express gave birth to twins (a girl and a boy) in the train at Kalyan railway station. The...',Governmental
"b'RT @PiyushGoyal: Railways to introduce Mass Rapid Transit System in Nagpur to help connect adjoining towns of the city. Also, the plan of a...'",Governmental
b'https://t.co/QHrXNy4WYd',Governmental
b'Prime Minister Shri Narendra Modi visited Varanasi cantt. Station on Saturday Night. https://t.co/hC1Nrf1YjK',Governmental
"b'RT @RailwayNorthern: Stages of operation of Automatic Coach Washing System - Pre-wash, Detergent Spray, Brushing-1, Soaking, Brushing-2, To...'",Governmental
b'RT @RailwayNorthern: Automatic Coach Washing Plant set up at H.NZM takes coach cleaning to the next level - providing improved quality of e...',Governmental
b'RT @Central_Railway: Now you can also help in recycling and take part in keeping the station clean. Bottle Crusher at CSMT https://t.co/a44...',Governmental
"b'RT @PiyushGoyal:            ,           ...'",Governmental
"b'RT @NWRailways:   ,    ,       ,   ,     ...'",Governmental
b'RT @dfccil_india:                 \n@RailMinIndia @PiyushGoyalOffc...',Governmental
"b'RT @eastcoastrail: @RailMinIndia In addition to special trains for Puri Rath Yatra announced earlier, special trains will also be run from...'",Governmental
b'RT @NWRailways: https://t.co/iYgCP5cxC8',Governmental
b'RT @Central_Railway: High Speed Rail Project will mark a paradigm shift in the way people travel. It will also have a significant impact on...',Governmental
"b'RT @PIB_India: Union Minister @PiyushGoyal gives away awards for beautification of stations premises; Out of 62 entries, Balharshah &amp; Chand...'",Governmental
"b'RT @PiyushGoyalOffc: Striving towards zero- accident railway system and to make rail travel safer, minister @PiyushGoyal met indigenous sig...'",Governmental
"b'RT @PiyushGoyal:           ,    --     ...'",Governmental
"b""RT @PiyushGoyal: Retracing the Epic Journey of Lord Rama: Indian Railways to introduce a special tourist train 'Shri Ramayana Express' whic...""",Governmental
b'Indian Railways is moving ahead on its journey of transformation by adopting new innovative means. https://t.co/ZgGlAp54G8',Governmental
"b'RT @PiyushGoyal: Govt, under the leadership of PM @NarendraModi, has taken several transformative steps to speed up building new rail infra...'",Governmental
b'RT @Central_Railway: We received innumerable messages and tweets yesterday from you all bestowing accolades on us that despite heavy torren...',Governmental
"b""RT @RailwayNorthern: Passenger Comfort and Safety is Railway's top most priority. Our Initiatives for the same can only be fruitful with pa...""",Governmental
"b'RT @PiyushGoyal:             , UTS           ...'",Governmental
"b""RT @PiyushGoyalOffc: Minister @PiyushGoyal held a review meeting of Kolkata Metro, and discussed key areas to make the city's Metro more co...""",Governmental
b'RT @eastcoastrail: .@RailMinIndia Union Minister @dpradhanbjp congratulated @PiyushGoyalOffc Honble Minister of Railways for providing 5 g...',Governmental
b'                https://t.co/Js1MqvVrY3',Governmental
"b""RT @DDNewsLive: Ground Report: Indian Railways' major boost to rail connectivity in North East; work in full swing on Agartala-Akhaura(in B...""",Governmental
"b""RT @GMSRailway: Travel in NMR ! Relish the beauty of the 'Blue hills', valleys and waterfalls, scenic tea estates, rich flora and fauna!! E...""",Governmental
"b'RT @PiyushGoyal:  @NarendraModi         ,       ...'",Governmental
"b""RT @PiyushGoyal: 'Train Captain' At Your Service: In a bid to promote a single point of contact for passenger assistance &amp; grievance redres...""",Governmental
b'https://t.co/uyRdHgKA7Q',Governmental
b'A Glimpse of Rich Heritage of Indian Railways : Indian Railways has taken immense initiatives to preserve its histo... https://t.co/Otq68JmKOd',Governmental
"b'RT @PiyushGoyalOffc: Fulfilling the long standing demand of people of Tripura for direct connectivity from Agartala to Deodhar, Railways is...'",Governmental
"b'RT @rajengohainbjp: Deogarh is a famous religious and historical place and centre for the ashram of Sri Sri Thakur Anukulchandra. Today I,...'",Governmental
"b'RT @PiyushGoyal: Indian Railways built a subway in a record time of less than 5 hours under a railway crossing in Andhra Pradesh, setting a...'",Governmental
b'https://t.co/NUUntE5Sxd',Governmental
"b'From safety and punctuality to speed and competitive efficiency, Indian Railways is undertaking its journey of tran... https://t.co/tfhNl3mw20'",Governmental
b'RT @PiyushGoyal: Indian Railways is leading the charge in energy &amp; fuel efficient processes to build a sustainable future for India. Read m...',Governmental
"b'RT @PiyushgHindi:         -    ,         ...'",Governmental
"b'RT @WesternRly: As per directives of Minister of Rlys Sh Piyush Goyal, in a high level meeting bet BMC Commissioner Sh Ajoy Mehta, GM/WR Sh...'",Governmental
"b'Sh.Ashwani Lohani, Chairman, Railway Board today felicitated Shri Balwant, Trackman for his alertness and promptnes... https://t.co/fJwuULW9nI'",Governmental
"b'RT @WesternRly: Following instructions of MR, Shri Piyush Goyal, about 500 railway officers, staff &amp; labour worked tirelessly inspite of ba...'",Governmental
